20161202, 6740, 6770, 6650, 6760, 31915, 6760
20161201, 6600, 6740, 6550, 6740, 30740, 6740
20161130, 6620, 6640, 6500, 6600, 38110, 6600
20161129, 6590, 6640, 6530, 6620, 46382, 6620
20161128, 6740, 6790, 6520, 6610, 52779, 6610
20161125, 6670, 6800, 6670, 6740, 21883, 6740
20161124, 6810, 6890, 6680, 6740, 43583, 6740
20161123, 6910, 6920, 6780, 6830, 36418, 6830
20161122, 6880, 6920, 6790, 6870, 23056, 6870
20161121, 7000, 7010, 6790, 6800, 63576, 6800
20161118, 7000, 7000, 6810, 6900, 76896, 6900
20161117, 7040, 7060, 6930, 7020, 52707, 7020
20161116, 6960, 7030, 6900, 7020, 42181, 7020
20161115, 6950, 7030, 6830, 6960, 67180, 6960
20161114, 6950, 6980, 6850, 6920, 78538, 6920
20161111, 6560, 6890, 6530, 6880, 112730, 6880
20161110, 6410, 6560, 6350, 6560, 38780, 6560
20161109, 6710, 6730, 6130, 6320, 140378, 6320
20161108, 6600, 6670, 6560, 6640, 24942, 6640
20161107, 6440, 6690, 6430, 6600, 43299, 6600
20161104, 6430, 6480, 6340, 6440, 39943, 6440
20161103, 6180, 6450, 6170, 6430, 51366, 6430
20161102, 6510, 6600, 6230, 6230, 101536, 6230
20161101, 6660, 6710, 6470, 6560, 39308, 6560
20161031, 6730, 6760, 6480, 6660, 78141, 6660
20161028, 6770, 6890, 6610, 6750, 27109, 6750
20161027, 6560, 6840, 6560, 6820, 56515, 6820
20161026, 6690, 6790, 6460, 6560, 104452, 6560
20161025, 6750, 6800, 6550, 6730, 92324, 6730
20161024, 6780, 6880, 6720, 6800, 44679, 6800
20161021, 6860, 6940, 6770, 6780, 51190, 6780
20161020, 6950, 6980, 6830, 6870, 48529, 6870
20161019, 7060, 7060, 6860, 6950, 81574, 6950
20161018, 7070, 7090, 6960, 7000, 57454, 7000
20161017, 7140, 7180, 7020, 7070, 77169, 7070
20161014, 7130, 7210, 7020, 7140, 93859, 7140
20161013, 7250, 7300, 7100, 7150, 118357, 7150
